corp_code,corp_name,year,A_SIZE,LEV,TQ,stock_code,FOR,MSE,ROA,ADV,SGR,R&D,ESG,E,S,G
1205709,HD현대,2019,30.87811640726629,53.78398790594192,75.19080096871166,267250,19.19,33.31,0.44855134902788507,19.2141793058543,-229.78487321356246,0.006737429743309058,A,B+,A,A
1205842,HD현대건설기계,2019,28.79043084097,50.52954615723898,69.00646921416431,267270,11.36,36.16,1.5959972312788304,0.058166867224493844,-1180.5927794682293,0.0629071688813664,A,B+,A,A
406046,HD현대마린엔진,2019,26.827051774893658,70.95190548704095,90.1206883488382,71970,1.04,66.1,-8.020529587329932,,1823.7261043127382,,B,C,B+,B+
164609,HD현대미포,2019,28.849082723527967,30.36911486107573,84.77722326821349,10620,13.68,,1.8096657446461712,6.933634057644972,2459.76127013895,,A,A,A+,A
344287,HD현대인프라코어,2019,30.05923333079124,62.36259608785177,72.55164776625305,42670,16.6,36.3,3.4898348644743304,97.42555502204733,589.554513201015,22.988477817267334,A,A,A+,A
1205851,HD현대일렉트릭,2019,28.444824909896973,68.9685913415517,87.41969038796962,267260,4.88,39.1,-11.712996611523897,14.437081520155399,-872.3845025380888,174.2782148152666,A,A,A+,A
633835,HJ중공업,2019,28.53532914107211,90.082105980758,106.88716604357826,97230,20.7,1.14,12.394392082978776,2.633920101967704,-407.0867658223338,,B,B,B,B+
161116,HL D&I,2019,28.093614256604564,83.56176337401325,90.9050310684382,14790,3.22,100.0,0.17150139130684122,24.936365093478425,39.87667101936832,5.308532315959107,B+,B,B+,B+
169048,HLB글로벌,2019,25.58618773422328,37.35247481764946,215.11836308498582,3580,0.45,,-17.67279413140494,471.1412980881159,16459.081724582964,258.48381556875955,C,D,B,C
1042775,HL만도,2019,29.15612495561632,65.49727242208877,101.46391791068758,204320,24.52,30.3,2.5728765639203095,2.308740146090308,559.6713565061513,16.932469007877124,A,A,A+,A
299002,HL홀딩스,2019,28.19656409803237,49.66521195069187,76.96963635211596,60980,10.97,27.63,2.3325856033163297,48.02859891102495,-994.6793162998483,3.9916446310139277,B+,B,B+,A
164645,HMM,2019,29.599557213878487,84.77261836876606,100.46718461752467,11200,9.34,17.58,-8.237731779910218,8.601348536183618,557.1775009555499,,A,A,A+,A
140168,HS애드,2019,26.94522289601213,71.62676706981436,93.17116075433319,35000,31.4,35.03,3.0294262844496327,3.1334072555721457,72.10098264321445,78.21448407588953,B,D,B+,B+
174527,HS화성,2019,27.14101900094004,39.44143847115545,63.11853239988897,2460,13.1,41.94,1.2524286783118617,14.083933973633728,-500.95731783474207,,B,C,B,B+
1316254,HS효성첨단소재,2019,28.55967461560784,83.98322019817589,103.62979568908311,298050,7.16,44.4,-2.0902750089975846,11.468369491775206,7276.596545706611,,A+,A+,A+,A
105101,INVENI,2019,28.065585192444026,60.56530674039268,75.09625887245805,15360,15.43,67.65,1.4331586322655447,2.428613515917487,117.09103408398656,1.91420805665922,B,D,B+,B+
980122,JB금융지주,2019,,,,175330,40.88,10.6,,,,,A+,A,A,A+
225706,JW생명과학,2019,26.028578426775447,39.11961543918403,194.78894075899987,234080,7.09,56.9,10.892755133773495,102.798730434147,965.7103681997685,78.6973838290356,B+,B+,B+,B+
149947,JW중외제약,2019,27.07451425429617,59.8589215274328,164.77957732377737,1060,7.59,39.38,-4.40939795462038,147.7579265226956,-481.1522454813373,661.586441867844,B,B,B+,B
632304,JW홀딩스,2019,27.848920459538707,71.72269461087339,104.67165273747429,96760,5.3,50.12,-2.5442452567402065,155.65881713750656,14.365331217758866,738.861577748637,B+,C,B+,B+
117629,KBI동양철관,2019,25.824302550797974,51.38147744115024,126.68397210501917,8970,1.7,21.81,1.0837466250204562,0.3734311190988831,88.5137741656418,8.401863645044378,C,C,C,C
688996,KB금융,2019,,,,105560,66.5,9.5,,,,,A+,A+,A+,A+
159971,KC그린홀딩스,2019,27.42785637619798,63.93220042897243,77.18190058923918,9440,3.8,48.8,1.7555697524011329,39.97580518196935,605.5691544562055,166.56072150170144,B,B,B+,B
797364,KC코트렐,2019,26.528459782924923,77.04090278256075,103.86161008602303,119650,4.22,36.62,0.20309539848409613,,6509.845665713684,7583.181944223108,B,B,B,B
589127,KEC,2019,26.535042898525703,35.98050402044973,72.122682323749,92220,6.31,34.53,-5.902259921333125,,-719.734942171882,277.1162998151684,B,B+,B+,C
115676,KG스틸,2019,28.48767741274019,62.23533707434089,95.35547506590544,16380,0.03,0.04,-1.4239348103793066,,-459.1063889532156,,B,B,B+,B
101220,KG케미칼,2019,29.05450099980503,67.44402742065051,71.20549185531162,1390,8.03,42.64,5.283372083104456,,6124.359387024788,2.417332976527826,D,C,C,D
193009,KH 필룩스,2019,26.755795110642435,34.6435540332721,179.50339910130575,33180,7.93,,-2.8034679264779836,,2281.5078864208876,40.868501358360504,C,C,B,B
159740,KISCO홀딩스,2019,28.073983571093493,14.753465892767181,29.93972149890856,1940,9.95,47.54,4.038302411007225,,-819.7439962708519,,C,B,B,C
191472,KPX케미칼,2019,27.010912122213306,11.49375728777532,61.523707118024795,25000,27.88,51.05,7.837755712492845,,-12.649651388517555,2232.6043121602997,B,B,C,B
587466,KPX홀딩스,2019,28.00188953394968,18.4722512742787,34.33297921671513,92230,32.06,50.91,5.228825966393494,,-118.33339912909044,137.81069198062278,C,C,C,B
112378,KR모터스,2019,25.693642587719246,75.56237278952912,112.24648678856188,40,16.39,46.32,-28.485115703538504,46.8397541775825,26260.138246885726,12.141190004964463,C,D,C,B
160232,KSS해운,2019,27.58731806757217,70.64474405437183,89.36807313345135,44450,8.25,30.66,2.448220008959444,,1418.9890155672535,,B+,B,B+,B+
372882,KTcs,2019,26.658435248605933,56.59372465305985,82.10736329978904,58850,9.47,30.3,1.9915435330724571,23.965676342223908,-700.9594925981859,,B,D,B+,B+
372873,KTis,2019,26.46570127443028,46.03595468760725,71.7058451526589,58860,6.08,29.31,2.951491934263126,,4.449211610353543,,B,D,B+,B+
593032,LF,2019,28.51359993919853,42.42997207029653,64.80945169251439,93050,30.48,39.97,2.873230905954036,,849.8050151850543,,B,D,B,B+
120021,LG,2019,30.741626863132243,15.21580253385057,71.97945884465223,3550,33.78,46.55,4.933243828848526,,-1508.4107599354543,55.75530022102282,A,B+,A+,B+
105873,LG디스플레이,2019,31.20265197592178,64.89547601751285,81.24003413618883,34220,20.56,37.92,-8.073403459657397,,-353.7901867933654,520.5318363556457,B+,B,A,B+
356370,LG생활건강,2019,29.501848920278885,34.75048955296816,338.0388833144288,51900,44.44,34.03,12.13756062659635,,1389.9700828093191,31.22013734181693,A,A,A+,A
231363,LG유플러스,2019,30.51811249927457,59.03463844089393,93.59159762778656,32640,36.62,36.05,2.44596052070531,,559.7293113814586,,B,B+,B+,B
105961,LG이노텍,2019,29.38382845759013,61.797121657058,119.21387792605952,11070,32.4,40.79,1.772731969034589,,400.85245992232217,372.9423289779431,A,A,A+,B+
401731,LG전자,2019,31.43456485857001,63.385680410389014,89.68759808046724,66570,33.72,33.68,0.40113352968549293,193.94305620590575,157.23587152771074,398.58103951975863,B+,A,A+,B
222532,LG헬로비전,2019,28.213611736929323,46.87426375641456,73.04062454291365,37560,8.86,,-5.26234736542659,146.92949213688388,-559.0703937421852,37.68593456414467,B+,D,B+,A
356361,LG화학,2019,31.15809979437521,48.90791397921011,114.78138059551688,51910,37.6,30.1,1.1053941071628952,13.631770391812875,156.84235039028653,83.37210474660614,B,C,A,B+
503668,LIG넥스원,2019,28.47150634378852,72.64393522940321,102.64189144207461,79550,4.53,47.01,0.13744707276395918,36.461784114879364,-168.23082993763518,36.454672979792484,A,B+,A,A
105952,LS,2019,30.00718301145928,60.31659554985399,74.61638914882057,6260,13.75,33.23,0.8623950992947284,,82.74969517650632,,B+,B,B+,A
104698,LS네트웍스,2019,27.786388564307188,55.533166627755406,71.11719010513,680,0.36,81.8,-5.914363049195007,206.71139444331388,-966.0523951387825,,B,D,B+,B
1093007,LS에코에너지,2019,26.608428499597963,55.17213960485402,123.46182001377235,229640,3.53,59.17,4.751440039702526,,1790.9746834394489,,B,D,C,B+
525934,LX세미콘,2019,27.16856221799145,25.014795508699102,127.80738245835003,108320,,33.09,6.119815932487892,102.16660969402899,951.0254281769546,1151.3302658194582,B,C,B+,B+
